date,top_winner,winner_pct,top_loser,loser_pct,watchlist_tickers
2026-08-08,,,,,
2026-08-09,CRM,3.18,MA,-2.26,CRM|TSLA|ORCL|NVDA|MA
2026-08-10,XOM,4.48,INTC,-4.02,XOM|CVX|INTC|NFLX|NVDA
